  0.18165166E+01  0.37211950E+00  0.12816279E+01  0.25058519E+00  0.15618001E+01
  0.18467919E+01  0.35084932E+00  0.13118362E+01  0.23076445E+00  0.16175417E+01
  0.18770672E+01  0.33063472E+00  0.13409169E+01  0.21236740E+00  0.16731395E+01
  0.19073424E+01  0.31148871E+00  0.13688606E+01  0.19535262E+00  0.17285054E+01
  0.19376177E+01  0.29340848E+00  0.13956697E+01  0.17966427E+00  0.17835617E+01
  0.19678930E+01  0.27637814E+00  0.14213568E+01  0.16523619E+00  0.18382407E+01
  0.19981683E+01  0.26037132E+00  0.14459423E+01  0.15199539E+00  0.18924845E+01
  0.20284435E+01  0.24535353E+00  0.14694532E+01  0.13986506E+00  0.19462441E+01
  0.20587188E+01  0.23128437E+00  0.14919215E+01  0.12876707E+00  0.19994784E+01
  0.20889941E+01  0.21811935E+00  0.15133830E+01  0.11862382E+00  0.20521542E+01
  0.21192694E+01  0.20581152E+00  0.15338758E+01  0.10935976E+00  0.21042448E+01
  0.21192694E+01  0.57996389E+00  0.54432579E+00  0.54670625E+00  0.56063779E+00
  0.21496394E+01  0.59092527E+00  0.51074260E+00  0.56122665E+00  0.52408198E+00
  0.21800094E+01  0.60024413E+00  0.48067012E+00  0.57365633E+00  0.49168300E+00
  0.22103794E+01  0.60825965E+00  0.45345428E+00  0.58440956E+00  0.46261462E+00
  0.22407495E+01  0.61521340E+00  0.42863478E+00  0.59378443E+00  0.43630069E+00
  0.22711195E+01  0.62128588E+00  0.40587003E+00  0.60200594E+00  0.41231804E+00
  0.23014895E+01  0.62661673E+00  0.38489598E+00  0.60924992E+00  0.39034320E+00
  0.23318595E+01  0.63131691E+00  0.36550187E+00  0.61565738E+00  0.37012104E+00
  0.23622295E+01  0.63547634E+00  0.34751517E+00  0.62134361E+00  0.35144514E+00
  0.23925996E+01  0.63916905E+00  0.33079168E+00  0.62640430E+00  0.33414508E+00
  0.24229696E+01  0.64245676E+00  0.31520889E+00  0.63091981E+00  0.31807777E+00
  0.24533396E+01  0.64539142E+00  0.30066131E+00  0.63495823E+00  0.30312137E+00
  0.24837096E+01  0.64801711E+00  0.28705709E+00  0.63857772E+00  0.28917093E+00
  0.25140797E+01  0.65037149E+00  0.27431552E+00  0.64182819E+00  0.27613518E+00
  0.25444497E+01  0.65248690E+00  0.26236514E+00  0.64475276E+00  0.26393405E+00
  0.25748197E+01  0.65439127E+00  0.25114228E+00  0.64738881E+00  0.25249686E+00
  0.26051897E+01  0.65610878E+00  0.24058991E+00  0.64976885E+00  0.24176080E+00
  0.26355597E+01  0.65766048E+00  0.23065671E+00  0.65192126E+00  0.23166978E+00
  0.26659298E+01  0.65906473E+00  0.22129632E+00  0.65387088E+00  0.22217348E+00
  0.26962998E+01  0.66033758E+00  0.21246672E+00  0.65563951E+00  0.21322659E+00
  0.27266698E+01  0.66149314E+00  0.20412973E+00  0.65724634E+00  0.20478816E+00
  0.27570398E+01  0.66254378E+00  0.19625052E+00  0.65870826E+00  0.19682105E+00
  0.27874098E+01  0.66350043E+00  0.18879729E+00  0.66004020E+00  0.18929152E+00
  0.28177799E+01  0.66437273E+00  0.18174093E+00  0.66125537E+00  0.18216882E+00
  0.28481499E+01  0.66516922E+00  0.17505475E+00  0.66236549E+00  0.17542486E+00
  0.28785199E+01  0.66589745E+00  0.16871422E+00  0.66338094E+00  0.16903392E+00
  0.29088899E+01  0.66656415E+00  0.16269677E+00  0.66431098E+00  0.16297245E+00
  0.29392600E+01  0.66717530E+00  0.15698161E+00  0.66516385E+00  0.15721879E+00
  0.29696300E+01  0.66773621E+00  0.15154956E+00  0.66594689E+00  0.15175302E+00
  0.30000000E+01  0.66825164E+00  0.14638288E+00  0.66666667E+00  0.14655679E+00
