  0.32154234E+04  0.32155408E+04  0.32159661E+04  0.32164358E+04  0.32167027E+04
  0.32168832E+04  0.32170081E+04  0.32170846E+04  0.32171192E+04  0.32171158E+04
  0.32170726E+04  0.32169840E+04  0.32168408E+04  0.32166295E+04  0.32163303E+04
  0.32159158E+04  0.32153484E+04  0.32145767E+04  0.32135304E+04  0.32121140E+04
  0.32101966E+04  0.32075994E+04  0.32040835E+04  0.31993263E+04  0.31928921E+04
  0.31843075E+04  0.31729832E+04  0.31582428E+04  0.31395098E+04  0.31164235E+04
  0.30892311E+04  0.30587463E+04  0.30262754E+04  0.29926693E+04  0.29581081E+04
  0.29232103E+04  0.28890623E+04  0.28568728E+04  0.28275313E+04  0.28010708E+04
  0.27767225E+04  0.27534656E+04  0.27303509E+04  0.27067560E+04  0.26824654E+04
  0.26575969E+04  0.26323852E+04  0.26069978E+04  0.25815735E+04  0.25562658E+04
  0.25312062E+04  0.25064856E+04  0.24821596E+04  0.24582575E+04  0.24347914E+04
  0.24117622E+04  0.23891653E+04  0.23669941E+04  0.23452425E+04  0.23239059E+04
  0.23029810E+04  0.22824650E+04  0.22623548E+04  0.22426456E+04  0.22233304E+04
  0.22043997E+04  0.21858415E+04  0.21676424E+04  0.21497876E+04  0.21322619E+04
  0.21150484E+04  0.20981297E+04  0.20814883E+04  0.20651077E+04  0.20489747E+04
  0.20330809E+04  0.20174234E+04  0.20020011E+04  0.19868091E+04  0.19718362E+04
  0.19570807E+04  0.19425569E+04  0.19283127E+04  0.19144370E+04  0.19010063E+04
  0.18880665E+04  0.18756545E+04  0.18638044E+04  0.18525510E+04  0.18419340E+04
  0.18320016E+04  0.18228120E+04  0.18144331E+04  0.18069386E+04  0.18004036E+04
  0.17948872E+04  0.17904140E+04  0.17869503E+04  0.17844881E+04  0.17827937E+04
  0.17820728E+04  0.32154246E+04  0.32155424E+04  0.32159693E+04  0.32164408E+04
  0.32167083E+04  0.32168885E+04  0.32170133E+04  0.32170900E+04  0.32171248E+04
  0.32171210E+04  0.32170774E+04  0.32169883E+04  0.32168446E+04  0.32166328E+04
  0.32163332E+04  0.32159183E+04  0.32153507E+04  0.32145789E+04  0.32135325E+04
  0.32121159E+04  0.32101980E+04  0.32076001E+04  0.32040834E+04  0.31993253E+04
  0.31928899E+04  0.31843040E+04  0.31729781E+04  0.31582360E+04  0.31395009E+04
  0.31164124E+04  0.30892173E+04  0.30587295E+04  0.30262554E+04  0.29926469E+04
  0.29580849E+04  0.29231890E+04  0.28890467E+04  0.28568654E+04  0.28275304E+04
  0.28010708E+04  0.27767189E+04  0.27534548E+04  0.27303305E+04  0.27067260E+04
  0.26824278E+04  0.26575538E+04  0.26323376E+04  0.26069472E+04  0.25815218E+04
  0.25562138E+04  0.25311536E+04  0.25064317E+04  0.24821035E+04  0.24581985E+04
  0.24347286E+04  0.24116952E+04  0.23890937E+04  0.23669180E+04  0.23451622E+04
  0.23238218E+04  0.23028934E+04  0.22823742E+04  0.22622608E+04  0.22425480E+04
  0.22232286E+04  0.22042928E+04  0.21857287E+04  0.21675228E+04  0.21496603E+04
  0.21321256E+04  0.21149021E+04  0.20979725E+04  0.20813199E+04  0.20649292E+04
  0.20487886E+04  0.20328906E+04  0.20172320E+04  0.20018101E+04  0.19866200E+04
  0.19716568E+04  0.19569286E+04  0.19424590E+04  0.19283037E+04  0.19145395E+04
  0.19012221E+04  0.18883931E+04  0.18760928E+04  0.18643596E+04  0.18532331E+04
  0.18427563E+04  0.18329787E+04  0.18239565E+04  0.18157513E+04  0.18084250E+04
  0.18020353E+04  0.17966202E+04  0.17921936E+04  0.17887042E+04  0.17861623E+04
  0.17842045E+04  0.17832645E+04  0.32154277E+04  0.32155477E+04  0.32159824E+04
  0.32164614E+04  0.32167310E+04  0.32169109E+04  0.32170354E+04  0.32171124E+04
  0.32171471E+04  0.32171424E+04  0.32170972E+04  0.32170064E+04  0.32168612E+04
  0.32166477E+04  0.32163465E+04  0.32159302E+04  0.32153613E+04  0.32145885E+04
  0.32135412E+04  0.32121233E+04  0.32102035E+04  0.32076036E+04  0.32040845E+04
